grade_id,student_id,course_id,group_id,assessment_title,assessment_id,type,score,max_score,date
GR00001,S0001,C002,G03,Quiz 1,C002-QZ,quiz,80.6,100,2025-12-27
GR00002,S0001,C002,G03,Quiz 2,C002-QZ,quiz,69.1,100,2026-01-10
GR00003,S0001,C002,G03,Quiz 3,C002-QZ,quiz,84.6,100,2026-01-24
GR00004,S0001,C002,G03,Quiz 4,C002-QZ,quiz,88.2,100,2026-02-07
GR00005,S0001,C002,G03,Assignment 1,C002-AS,assignment,67.4,100,2026-02-21
GR00006,S0001,C002,G03,Assignment 2,C002-AS,assignment,61.8,100,2026-03-07
GR00007,S0001,C002,G03,Assignment 3,C002-AS,assignment,63.4,100,2026-03-21
GR00008,S0001,C002,G03,Practical 1,C002-PR,practical,79.3,100,2026-04-04
GR00009,S0001,C002,G03,Practical 2,C002-PR,practical,86.8,100,2026-04-18
GR00010,S0001,C002,G03,Midterm Exam,C002-EX,exam,87.2,100,2026-05-02
GR00011,S0001,C002,G03,Final Exam,C002-EXF,exam,82.1,100,2026-05-16
GR00012,S0002,C004,G06,Quiz 1,C004-QZ,quiz,97.1,100,2025-12-17
GR00013,S0002,C004,G06,Quiz 2,C004-QZ,quiz,93.8,100,2026-01-01
GR00014,S0002,C004,G06,Quiz 3,C004-QZ,quiz,93.8,100,2026-01-16
GR00015,S0002,C004,G06,Quiz 4,C004-QZ,quiz,90.4,100,2026-01-31
GR00016,S0002,C004,G06,Assignment 1,C004-AS,assignment,90.6,100,2026-02-15
GR00017,S0002,C004,G06,Assignment 2,C004-AS,assignment,78.3,100,2026-03-02
GR00018,S0002,C004,G06,Assignment 3,C004-AS,assignment,72.9,100,2026-03-16
GR00019,S0002,C004,G06,Practical 1,C004-PR,practical,82.1,100,2026-03-31
GR00020,S0002,C004,G06,Practical 2,C004-PR,practical,72.0,100,2026-04-15
GR00021,S0002,C004,G06,Midterm Exam,C004-EX,exam,83.7,100,2026-04-30
GR00022,S0002,C004,G06,Final Exam,C004-EXF,exam,87.7,100,2026-05-15
GR00023,S0003,C003,G05,Quiz 1,C003-QZ,quiz,62.1,100,2025-12-30
GR00024,S0003,C003,G05,Quiz 2,C003-QZ,quiz,75.9,100,2026-01-13
GR00025,S0003,C003,G05,Quiz 3,C003-QZ,quiz,73.8,100,2026-01-27
GR00026,S0003,C003,G05,Quiz 4,C003-QZ,quiz,77.8,100,2026-02-09
GR00027,S0003,C003,G05,Assignment 1,C003-AS,assignment,81.3,100,2026-02-23
GR00028,S0003,C003,G05,Assignment 2,C003-AS,assignment,66.0,100,2026-03-09
GR00029,S0003,C003,G05,Assignment 3,C003-AS,assignment,63.5,100,2026-03-22
GR00030,S0003,C003,G05,Practical 1,C003-PR,practical,66.4,100,2026-04-05
GR00031,S0003,C003,G05,Practical 2,C003-PR,practical,62.2,100,2026-04-19
GR00032,S0003,C003,G05,Midterm Exam,C003-EX,exam,78.3,100,2026-05-02
GR00033,S0003,C003,G05,Final Exam,C003-EXF,exam,84.8,100,2026-05-16
GR00034,S0004,C001,G02,Quiz 1,C001-QZ,quiz,86.7,100,2025-12-26
GR00035,S0004,C001,G02,Quiz 2,C001-QZ,quiz,77.6,100,2026-01-09
GR00036,S0004,C001,G02,Quiz 3,C001-QZ,quiz,77.6,100,2026-01-23
GR00037,S0004,C001,G02,Quiz 4,C001-QZ,quiz,89.9,100,2026-02-06
GR00038,S0004,C001,G02,Assignment 1,C001-AS,assignment,77.8,100,2026-02-20
GR00039,S0004,C001,G02,Assignment 2,C001-AS,assignment,75.7,100,2026-03-06
GR00040,S0004,C001,G02,Assignment 3,C001-AS,assignment,79.9,100,2026-03-20
GR00041,S0004,C001,G02,Practical 1,C001-PR,practical,80.3,100,2026-04-03
GR00042,S0004,C001,G02,Practical 2,C001-PR,practical,89.5,100,2026-04-17
GR00043,S0004,C001,G02,Midterm Exam,C001-EX,exam,80.0,100,2026-05-01
GR00044,S0004,C001,G02,Final Exam,C001-EXF,exam,79.7,100,2026-05-15
GR00045,S0005,C001,G01,Quiz 1,C001-QZ,quiz,78.2,100,2025-12-27
GR00046,S0005,C001,G01,Quiz 2,C001-QZ,quiz,72.7,100,2026-01-10
GR00047,S0005,C001,G01,Quiz 3,C001-QZ,quiz,74.5,100,2026-01-24
GR00048,S0005,C001,G01,Quiz 4,C001-QZ,quiz,80.3,100,2026-02-07
GR00049,S0005,C001,G01,Assignment 1,C001-AS,assignment,69.8,100,2026-02-21
GR00050,S0005,C001,G01,Assignment 2,C001-AS,assignment,61.3,100,2026-03-07
GR00051,S0005,C001,G01,Assignment 3,C001-AS,assignment,58.6,100,2026-03-21
GR00052,S0005,C001,G01,Practical 1,C001-PR,practical,74.7,100,2026-04-04
GR00053,S0005,C001,G01,Practical 2,C001-PR,practical,85.9,100,2026-04-18
GR00054,S0005,C001,G01,Midterm Exam,C001-EX,exam,60.4,100,2026-05-02
GR00055,S0005,C001,G01,Final Exam,C001-EXF,exam,62.0,100,2026-05-16
GR00056,S0006,C005,G07,Quiz 1,C005-QZ,quiz,75.0,100,2025-12-20
GR00057,S0006,C005,G07,Quiz 2,C005-QZ,quiz,75.0,100,2026-01-04
GR00058,S0006,C005,G07,Quiz 3,C005-QZ,quiz,75.0,100,2026-01-18
GR00059,S0006,C005,G07,Quiz 4,C005-QZ,quiz,75.0,100,2026-02-02
GR00060,S0006,C005,G07,Assignment 1,C005-AS,assignment,75.0,100,2026-02-16
GR00061,S0006,C005,G07,Assignment 2,C005-AS,assignment,75.0,100,2026-03-03
GR00062,S0006,C005,G07,Assignment 3,C005-AS,assignment,75.0,100,2026-03-18
GR00063,S0006,C005,G07,Practical 1,C005-PR,practical,75.0,100,2026-04-01
GR00064,S0006,C005,G07,Practical 2,C005-PR,practical,75.0,100,2026-04-16
GR00065,S0006,C005,G07,Midterm Exam,C005-EX,exam,75.0,100,2026-04-30
GR00066,S0006,C005,G07,Final Exam,C005-EXF,exam,75.0,100,2026-05-15
GR00067,S0007,C002,G04,Quiz 1,C002-QZ,quiz,68.5,100,2025-12-27
GR00068,S0007,C002,G04,Quiz 2,C002-QZ,quiz,75.2,100,2026-01-10
GR00069,S0007,C002,G04,Quiz 3,C002-QZ,quiz,81.3,100,2026-01-24
GR00070,S0007,C002,G04,Quiz 4,C002-QZ,quiz,61.0,100,2026-02-07
GR00071,S0007,C002,G04,Assignment 1,C002-AS,assignment,72.3,100,2026-02-21
GR00072,S0007,C002,G04,Assignment 2,C002-AS,assignment,71.5,100,2026-03-07
GR00073,S0007,C002,G04,Assignment 3,C002-AS,assignment,64.5,100,2026-03-21
GR00074,S0007,C002,G04,Practical 1,C002-PR,practical,77.6,100,2026-04-04
GR00075,S0007,C002,G04,Practical 2,C002-PR,practical,85.3,100,2026-04-18
GR00076,S0007,C002,G04,Midterm Exam,C002-EX,exam,57.8,100,2026-05-02
GR00077,S0007,C002,G04,Final Exam,C002-EXF,exam,83.1,100,2026-05-16
GR00078,S0008,C002,G04,Quiz 1,C002-QZ,quiz,80.9,100,2025-12-18
GR00079,S0008,C002,G04,Quiz 2,C002-QZ,quiz,84.5,100,2026-01-02
GR00080,S0008,C002,G04,Quiz 3,C002-QZ,quiz,88.1,100,2026-01-17
GR00081,S0008,C002,G04,Quiz 4,C002-QZ,quiz,92.3,100,2026-02-01
GR00082,S0008,C002,G04,Assignment 1,C002-AS,assignment,82.3,100,2026-02-15
GR00083,S0008,C002,G04,Assignment 2,C002-AS,assignment,75.8,100,2026-03-02
GR00084,S0008,C002,G04,Assignment 3,C002-AS,assignment,67.3,100,2026-03-17
GR00085,S0008,C002,G04,Practical 1,C002-PR,practical,84.4,100,2026-04-01
GR00086,S0008,C002,G04,Practical 2,C002-PR,practical,88.8,100,2026-04-15
GR00087,S0008,C002,G04,Midterm Exam,C002-EX,exam,70.2,100,2026-04-30
GR00088,S0008,C002,G04,Final Exam,C002-EXF,exam,98.0,100,2026-05-15
GR99999,S0008,C002,G04,Bonus Exam,C001-EXTRA,exam,90.0,100,2026-04-01
GR00089,S0009,C001,G01,Quiz 1,C001-QZ,quiz,75.9,100,2025-12-19
GR00090,S0009,C001,G01,Quiz 2,C001-QZ,quiz,64.4,100,2026-01-03
GR00091,S0009,C001,G01,Quiz 3,C001-QZ,quiz,69.7,100,2026-01-18
GR00092,S0009,C001,G01,Quiz 4,C001-QZ,quiz,63.2,100,2026-02-01
GR00093,S0009,C001,G01,Assignment 1,C001-AS,assignment,85.5,100,2026-02-16
GR00094,S0009,C001,G01,Assignment 2,C001-AS,assignment,78.1,100,2026-03-03
GR00095,S0009,C001,G01,Assignment 3,C001-AS,assignment,70.1,100,2026-03-17
GR00096,S0009,C001,G01,Practical 1,C001-PR,practical,72.9,100,2026-04-01
GR00097,S0009,C001,G01,Practical 2,C001-PR,practical,70.2,100,2026-04-16
GR00098,S0009,C001,G01,Midterm Exam,C001-EX,exam,79.0,100,2026-04-30
GR00099,S0009,C001,G01,Final Exam,C001-EXF,exam,74.5,100,2026-05-15
GR00100,S0010,C003,G05,Quiz 1,C003-QZ,quiz,63.6,100,2025-12-16
GR00101,S0010,C003,G05,Quiz 2,C003-QZ,quiz,66.9,100,2025-12-31
GR00102,S0010,C003,G05,Quiz 3,C003-QZ,quiz,76.0,100,2026-01-15
GR00103,S0010,C003,G05,Quiz 4,C003-QZ,quiz,57.5,100,2026-01-30
GR00104,S0010,C003,G05,Assignment 1,C003-AS,assignment,78.5,100,2026-02-14
GR00105,S0010,C003,G05,Assignment 2,C003-AS,assignment,83.1,100,2026-03-01
GR00106,S0010,C003,G05,Assignment 3,C003-AS,assignment,51.3,100,2026-03-16
GR00107,S0010,C003,G05,Practical 1,C003-PR,practical,66.6,100,2026-03-31
GR00108,S0010,C003,G05,Practical 2,C003-PR,practical,59.6,100,2026-04-15
GR00109,S0010,C003,G05,Midterm Exam,C003-EX,exam,65.4,100,2026-04-30
GR00110,S0010,C003,G05,Final Exam,C003-EXF,exam,54.4,100,2026-05-15
GR99998,S0010,C003,G05,Final Exam,C006-EXF,exam,80.0,100,2026-05-10
GR00111,S0011,C006,G08,Quiz 1,C006-QZ,quiz,69.1,100,2025-12-22
GR00112,S0011,C006,G08,Quiz 2,C006-QZ,quiz,70.4,100,2026-01-05
